date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:12	314/314	---MCZ	200	added ('OK')	text/plain	etag:W/%22223-d67z3liemgZI6GX4Y/pXhxREV8o%22	https://www.currentsandcontemplations.com/robots.txt		(from )
13:22:12	893529/893529	---MCZ	200	added ('OK')	text/html	etag:W/%229197af08c553b85ac53b90e9e1ef7ca0%22	https://www.currentsandcontemplations.com/	backup/complete-site/www.currentsandcontemplations.com/index.html	(from )
13:22:12	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jul%202025%2019:22:12%20GMT	https://www.currentsandcontemplations.com/c	backup/complete-site/www.currentsandcontemplations.com/c.0.delayed	(from https://www.currentsandcontemplations.com/)
13:22:13	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jul%202025%2019:22:13%20GMT	https://www.currentsandcontemplations.com/t	backup/complete-site/www.currentsandcontemplations.com/t.1.delayed	(from https://www.currentsandcontemplations.com/)
13:22:15	4074/4074	---MCZ	200	added ('OK')	text/xml	date:Mon,%2021%20Jul%202025%2019:22:14%20GMT	https://www.currentsandcontemplations.com/blog-feed.xml	backup/complete-site/www.currentsandcontemplations.com/blog-feed.xml	(from https://www.currentsandcontemplations.com/)
13:22:16	997652/997652	---MCZ	200	added ('OK')	text/html	etag:W/%2250a0590a264bd049bba03057adc10eef%22	https://www.currentsandcontemplations.com/blog	backup/complete-site/www.currentsandcontemplations.com/blog.html	(from https://www.currentsandcontemplations.com/)
13:22:18	803823/803823	---MCZ	200	added ('OK')	text/html	etag:W/%22576382af46814c69491d4c4a31dd9b47%22	https://www.currentsandcontemplations.com/gallery	backup/complete-site/www.currentsandcontemplations.com/gallery.html	(from https://www.currentsandcontemplations.com/)
13:22:19	1029116/1029116	---MCZ	200	added ('OK')	text/html	etag:W/%22a3a99b1e8cbbde86f53da5d1534a0fa2%22	https://www.currentsandcontemplations.com/post/cloud-peak-wilderness-trip-july-2024-pt-1-wyoming-weather-and-worries	backup/complete-site/www.currentsandcontemplations.com/post/cloud-peak-wilderness-trip-july-2024-pt-1-wyoming-weather-and-worries.html	(from https://www.currentsandcontemplations.com/)
13:22:25	440254/440254	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Jul%202025%2019:22:25%20GMT	https://www.currentsandcontemplations.com/post/fall-upper-colorado-fishing-trip-pt-2-upper-colorado	backup/complete-site/www.currentsandcontemplations.com/post/fall-upper-colorado-fishing-trip-pt-2-upper-colorado.html	(from https://www.currentsandcontemplations.com/)
13:22:28	965128/965128	---MCZ	200	added ('OK')	text/html	etag:W/%22e6ef609479e98357fe3cac44d0957535%22	https://www.currentsandcontemplations.com/post/upper-co-river-trip-fall-2023-pt-1	backup/complete-site/www.currentsandcontemplations.com/post/upper-co-river-trip-fall-2023-pt-1.html	(from https://www.currentsandcontemplations.com/)
13:22:30	902186/902186	---MCZ	200	added ('OK')	text/html	etag:W/%22350e0f4a4d90c775dc3482cd5e8a9a5b%22	https://www.currentsandcontemplations.com/blog/categories/fishing	backup/complete-site/www.currentsandcontemplations.com/blog/categories/fishing.html	(from https://www.currentsandcontemplations.com/)
13:22:32	956468/956468	---MCZ	200	added ('OK')	text/html	etag:W/%2206640bf272c802223e03f99d346559f5%22	https://www.currentsandcontemplations.com/blog/categories/upper-colorado	backup/complete-site/www.currentsandcontemplations.com/blog/categories/upper-colorado.html	(from https://www.currentsandcontemplations.com/)
13:22:34	940895/940895	---MCZ	200	added ('OK')	text/html	etag:W/%225d1ca189aad223d62437a2aff4168485%22	https://www.currentsandcontemplations.com/blog/categories/william-forks	backup/complete-site/www.currentsandcontemplations.com/blog/categories/william-forks.html	(from https://www.currentsandcontemplations.com/)
13:22:36	872019/872019	---MCZ	200	added ('OK')	text/html	etag:W/%224298297ca3335756ecf4cc37efc60221%22	https://www.currentsandcontemplations.com/blog/archive/2025/05	backup/complete-site/www.currentsandcontemplations.com/blog/archive/2025/05.html	(from https://www.currentsandcontemplations.com/)
13:22:38	873079/873079	---MCZ	200	added ('OK')	text/html	etag:W/%2205a910cfc79bbcaaafb389de0f41309e%22	https://www.currentsandcontemplations.com/blog/archive/2024/01	backup/complete-site/www.currentsandcontemplations.com/blog/archive/2024/01.html	(from https://www.currentsandcontemplations.com/)
13:22:43	439932/439932	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Jul%202025%2019:22:43%20GMT	https://www.currentsandcontemplations.com/blog/archive/2023/11	backup/complete-site/www.currentsandcontemplations.com/blog/archive/2023/11.html	(from https://www.currentsandcontemplations.com/)
13:22:45	885329/885329	---MCZ	200	added ('OK')	text/html	etag:W/%2200b642676f83eb1b66e843cce28ebbf1%22	https://www.currentsandcontemplations.com/blog/archive/2023/08	backup/complete-site/www.currentsandcontemplations.com/blog/archive/2023/08.html	(from https://www.currentsandcontemplations.com/)
13:22:47	902722/902722	---MCZ	200	added ('OK')	text/html	etag:W/%2282a394d332e3f9428ff1cfc9eb74c56c%22	https://www.currentsandcontemplations.com/blog/tags/fishing	backup/complete-site/www.currentsandcontemplations.com/blog/tags/fishing.html	(from https://www.currentsandcontemplations.com/)
13:22:49	888543/888543	---MCZ	200	added ('OK')	text/html	etag:W/%22766072e9c40a73eacae93d0a4445d46d%22	https://www.currentsandcontemplations.com/blog/tags/upper-colorado	backup/complete-site/www.currentsandcontemplations.com/blog/tags/upper-colorado.html	(from https://www.currentsandcontemplations.com/)
